tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0202470,6.3,105,"Drama,Music",nm0378893,nm0000242
tt0202677,6.6,119,"Action,Crime,Drama",nm0003160,nm0000202
tt0203009,7.6,127,"Drama,Musical,Romance",nm0525303,nm0000173
tt0203019,7.2,129,"Biography,Drama",nm0863387,nm0000421
tt0203119,7.3,89,"Crime,Drama,Thriller",nm0322242,nm0935653
tt0203166,7.4,106,"Comedy,Drama,Romance",nm0600546,nm0511841
tt0203230,7.5,111,Drama,nm0518836,nm0001473
tt0203755,6.2,93,"Comedy,Crime",nm0958969,nm0000239
tt0204313,5.1,114,"Horror,Mystery,Thriller",nm0001317,nm0001745
tt0204626,5.3,97,"Crime,Drama,Mystery",nm0152741,nm0000652
tt0204946,6.1,98,"Comedy,Romance,Sport",nm0715636,nm0000379
tt0206275,6.2,112,"Drama,Music,Romance",nm0141961,nm0005466
tt0206314,6.6,97,"Action,Mystery,Thriller",nm0001093,nm0001872
tt0206634,7.9,109,"Action,Drama,Sci-Fi",nm0190859,nm0000194
tt0207201,6.4,127,"Comedy,Fantasy,Romance",nm0583600,nm0000154
tt0208003,5.2,99,"Action,Comedy,Crime",nm0331532,nm0001454
tt0208092,8.2,104,"Comedy,Crime",nm0005363,nm0005458
tt0208874,6.9,126,"Drama,Thriller",nm0527109,nm0000260
tt0208988,5.1,102,"Action,Crime,Drama",nm0443181,nm0000230
tt0208990,7.3,99,Drama,nm0604335,nm0604335
tt0209077,5.8,93,Drama,"nm0164187,nm0005767",nm1076235
tt0209144,8.4,113,"Mystery,Thriller",nm0634240,nm0001602
tt0209163,6.4,130,"Action,Adventure,Fantasy",nm0814085,nm0000409
tt0209475,5.3,103,"Comedy,Romance",nm0788202,nm0000182
tt0209958,6.4,107,"Crime,Horror,Sci-Fi",nm0802248,nm0000182
tt0210070,6.8,108,"Drama,Fantasy,Horror",nm0269502,nm0673932
tt0210616,6.7,115,"Drama,Music,Romance",nm0405336,nm0776040
